Date,Value,Change
2/2019, 187.67, 84.39
3/2019, 145.86, -41.81
4/2019, 117.51, -28.35
5/2019, 137.14, 19.63
6/2019, 162.77, 25.63
7/2019, 141.38, -21.39
8/2019, 107.18, -34.2
9/2019, 129.99, 22.81
10/2019, 129.09, -0.9
11/2019, 125.17, -3.92
12/2019, 178.91, 53.74
1/2020, 184.7, 5.79
2/2020, 196.29, 11.59
3/2020, 118.22, -78.07
4/2020, 158.16, 39.94
5/2020, 186.8, 28.64
6/2020, 163.27, -23.53
7/2020, 138.13, -25.14
8/2020, 136.84, -1.29
9/2020, 167.24, 30.4
10/2020, 153.84, -13.4
11/2020, 196.74, 42.9
12/2020, 149.66, -47.08
1/2021, 130.23, -19.43
2/2021, 100.65, -29.58
3/2021, 116.97, 16.32
4/2021, 199.9, 82.93
5/2021, 155.73, -44.17
6/2021, 127.79, -27.94
7/2021, 170.41, 42.62
8/2021, 174.06, 3.65
9/2021, 180.22, 6.16
10/2021, 127.46, -52.76
11/2021, 114.27, -13.19
12/2021, 125.44, 11.17
1/2022, 144.47, 19.03
2/2022, 186.64, 42.17
3/2022, 123.95, -62.69
4/2022, 112.75, -11.2
5/2022, 172.36, 59.61
6/2022, 196.14, 23.78
7/2022, 175.78, -20.36
8/2022, 151, -24.78
9/2022, 111.01, -39.99
10/2022, 166.16, 55.15
11/2022, 133.57, -32.59
12/2022, 169.71, 36.14
