Date,Value,Change
1/2008, 103.75, -0.94
2/2008, 107.53, 3.78
3/2008, 101.36, -6.17
4/2008, 102.22, 0.86
5/2008, 102.28, 0.06
6/2008, 103.05, 0.77
7/2008, 101.33, -1.72
8/2008, 100.53, -0.8
9/2008, 100.26, -0.27
10/2008, 100.01, -0.25
11/2008, 100.91, 0.9
12/2008, 100.76, -0.15
1/2009, 100.55, -0.21
2/2009, 101.72, 1.17
3/2009, 98.45, -3.27
4/2009, 100.46, 2.01
5/2009, 100.36, -0.1
6/2009, 100.67, 0.31
7/2009, 99.95, -0.72
8/2009, 99.91, -0.04
9/2009, 100.17, 0.26
10/2009, 100.49, 0.32
11/2009, 100.62, 0.13
12/2009, 100.89, 0.27
1/2010, 101.65, 0.76
2/2010, 103.46, 1.81
3/2010, 101.5, -1.96
4/2010, 99.47, -2.03
5/2010, 100.09, 0.62
6/2010, 100.71, 0.62
7/2010, 100.5, -0.21
8/2010, 100.1, -0.4
9/2010, 100.39, 0.29
10/2010, 101.22, 0.83
11/2010, 103.27, 2.05
12/2010, 103.28, 0.01
1/2011, 102.74, -0.54
2/2011, 104.53, 1.79
3/2011, 101.57, -2.96
4/2011, 105.61, 4.04
5/2011, 103.53, -2.08
6/2011, 102.47, -1.06
7/2011, 103.2, 0.73
8/2011, 101.55, -1.65
9/2011, 99.72, -1.83
10/2011, 99.51, -0.21
11/2011, 99.74, 0.23
12/2011, 100.49, 0.75
1/2012, 101.41, 0.92
2/2012, 102.73, 1.32
3/2012, 98.75, -3.98
4/2012, 99.13, 0.38
5/2012, 99.74, 0.61
6/2012, 99.69, -0.05
7/2012, 99.55, -0.14
8/2012, 99.73, 0.18
9/2012, 99.93, 0.2
10/2012, 100.28, 0.35
11/2012, 99.79, -0.49
12/2012, 100.28, 0.49
1/2013, 101.96, 1.68
2/2013, 103, 1.04
3/2013, 99.05, -3.95
4/2013, 98.76, -0.29
5/2013, 99.55, 0.79
6/2013, 99.97, 0.42
7/2013, 100.18, 0.21
8/2013, 100.62, 0.44
9/2013, 100.87, 0.25
10/2013, 101.04, 0.17
11/2013, 100.56, -0.48
12/2013, 100.38, -0.18
1/2014, 100.75, 0.37
2/2014, 101.16, 0.41
3/2014, 98.46, -2.7
4/2014, 100.27, 1.81
5/2014, 100.37, 0.1
6/2014, 100.54, 0.17
7/2014, 100.58, 0.04
8/2014, 100.54, -0.04
9/2014, 100.21, -0.33
10/2014, 100.01, -0.2
11/2014, 99.9, -0.11
12/2014, 100.05, 0.15
1/2015, 100.42, 0.37
2/2015, 100.75, 0.33
3/2015, 100.31, -0.44
4/2015, 99.46, -0.85
5/2015, 99.71, 0.25
6/2015, 100.1, 0.39
7/2015, 100.24, 0.14
8/2015, 100.16, -0.08
9/2015, 99.86, -0.3
10/2015, 100.34, 0.48
11/2015, 99.99, -0.35
12/2015, 100.13, 0.14
1/2016, 100.3, 0.17
2/2016, 102.45, 2.15
3/2016, 99.33, -3.12
4/2016, 99.73, 0.4
5/2016, 100.38, 0.65
6/2016, 100.36, -0.02
7/2016, 99.99, -0.37
8/2016, 99.81, -0.18
9/2016, 100.1, 0.29
10/2016, 100.26, 0.16
11/2016, 100.71, 0.45
12/2016, 99.88, -0.83
1/2017, 99.41, -0.47
2/2017, 99.72, 0.31
3/2017, 98.78, -0.94
4/2017, 98.89, 0.11
5/2017, 97.73, -1.16
6/2017, 99.15, 1.42
7/2017, 100.87, 1.72
8/2017, 101.64, 0.77
9/2017, 100.06, -1.58
10/2017, 100.37, 0.31
11/2017, 99.94, -0.43
12/2017, 99.5, -0.44
1/2018, 100.56, 1.06
2/2018, 101.71, 1.15
3/2018, 98.95, -2.76
4/2018, 99.67, 0.72
5/2018, 101.2, 1.53
6/2018, 101.75, 0.55
7/2018, 100.87, -0.88
8/2018, 101.12, 0.25
9/2018, 100.51, -0.61
10/2018, 100.18, -0.33
11/2018, 99.7, -0.48
12/2018, 99.98, 0.28
1/2019, 100.85, 0.87
2/2019, 102.13, 1.28
3/2019, 98.03, -4.1
4/2019, 99.13, 1.1
5/2019, 100.11, 0.98
6/2019, 100.23, 0.12
7/2019, 100.4, 0.17
8/2019, 100.29, -0.11
9/2019, 100.76, 0.47
10/2019, 101.57, 0.81
11/2019, 104.11, 2.54
12/2019, 104.41, 0.3
1/2020, 102.6, -1.81
2/2020, 99.93, -2.67
3/2020, 99.11, -0.82
4/2020, 100.62, 1.51
5/2020, 100.43, -0.19
6/2020, 100.72, 0.29
7/2020, 99.7, -1.02
8/2020, 100.08, 0.38
9/2020, 99.41, -0.67
10/2020, 99.72, 0.31
11/2020, 99.94, 0.22
12/2020, 99.23, -0.71
1/2021, 100.81, 1.58
2/2021, 101.82, 1.01
3/2021, 97.8, -4.02
4/2021, 99.75, 1.95
5/2021, 99.95, 0.2
6/2021, 99.81, -0.14
7/2021, 100.95, 1.14
8/2021, 100.97, 0.02
9/2021, 99.7, -1.27
10/2021, 97.95, -1.75
11/2021, 99.6, 1.65
12/2021, 100.15, 0.55
1/2022, 99.91, -0.24
2/2022, 101.69, 1.78
3/2022, 99.52, -2.17
4/2022, 99.68, 0.16
5/2022, 100.22, 0.54
6/2022, 100.98, 0.76
7/2022, 101.6, 0.62
8/2022, 101.33, -0.27
9/2022, 100.16, -1.17
10/2022, 100.1, -0.06
11/2022, 99.7, -0.4
12/2022, 100.05, 0.35
