Date,Value,Change
8/2021, 100.22, 0.04
9/2021, 100.17, -0.05
10/2021, 100.19, 0.02
11/2021, 100.33, 0.14
12/2021, 100.2, -0.13
1/2022, 100.57, 0.37
2/2022, 100.37, -0.2
3/2022, 100.06, -0.31
4/2022, 100.22, 0.16
5/2022, 100.33, 0.11
6/2022, 100.35, 0.02
7/2022, 100.39, 0.04
8/2022, 100.27, -0.12
9/2022, 100.13, -0.14
10/2022, 100.34, 0.21
11/2022, 100.26, -0.08
12/2022, 100.45, 0.19
