Date,Value,Change
3/2015, 99.99, -0.75
4/2015, 100.16, 0.17
5/2015, 100.17, 0.01
6/2015, 100.12, -0.05
7/2015, 100.08, -0.04
8/2015, 99.98, -0.1
9/2015, 100.19, 0.21
10/2015, 100.1, -0.09
11/2015, 100.07, -0.03
12/2015, 100.15, 0.08
1/2016, 100.29, 0.14
2/2016, 100.8, 0.51
3/2016, 99.77, -1.03
4/2016, 100.1, 0.33
5/2016, 100.56, 0.46
6/2016, 100.03, -0.53
7/2016, 100.17, 0.14
8/2016, 100.11, -0.06
9/2016, 100.05, -0.06
10/2016, 100.17, 0.12
11/2016, 100.13, -0.04
12/2016, 100.1, -0.03
1/2017, 100.48, 0.38
2/2017, 100.14, -0.34
3/2017, 100.06, -0.08
4/2017, 100.08, 0.02
5/2017, 100.15, 0.07
6/2017, 100.05, -0.1
7/2017, 100.73, 0.68
8/2017, 100.1, -0.63
9/2017, 100.11, 0.01
10/2017, 100.12, 0.01
11/2017, 100.14, 0.02
12/2017, 100.16, 0.02
1/2018, 100.4, 0.24
2/2018, 100.74, 0.34
3/2018, 99.9, -0.84
4/2018, 99.98, 0.08
5/2018, 100.02, 0.04
6/2018, 100.02, 0
7/2018, 100.56, 0.54
8/2018, 100.13, -0.43
9/2018, 100.14, 0.01
10/2018, 100.09, -0.05
11/2018, 100.15, 0.06
12/2018, 100.24, 0.09
1/2019, 100.34, 0.1
2/2019, 100.47, 0.13
3/2019, 99.96, -0.51
4/2019, 100.15, 0.19
5/2019, 100.13, -0.02
6/2019, 100.15, 0.02
7/2019, 100.94, 0.79
8/2019, 100.14, -0.8
9/2019, 100.25, 0.11
10/2019, 100.17, -0.08
11/2019, 100.16, -0.01
12/2019, 100.24, 0.08
1/2020, 100.92, 0.68
2/2020, 100.17, -0.75
3/2020, 100.16, -0.01
4/2020, 99.87, -0.29
5/2020, 100.07, 0.2
6/2020, 100.19, 0.12
7/2020, 100.17, -0.02
8/2020, 100.2, 0.03
9/2020, 100.02, -0.18
10/2020, 100.09, 0.07
11/2020, 100.12, 0.03
12/2020, 100.12, 0
1/2021, 100.24, 0.12
2/2021, 100.74, 0.5
3/2021, 99.72, -1.02
4/2021, 100.07, 0.35
5/2021, 100.06, -0.01
6/2021, 100.06, 0
7/2021, 100, -0.06
8/2021, 100, 0
9/2021, 100.02, 0.02
10/2021, 100.12, 0.1
11/2021, 100.25, 0.13
12/2021, 100.14, -0.11
1/2022, 100.39, 0.25
2/2022, 100.22, -0.17
3/2022, 100.46, 0.24
4/2022, 100.18, -0.28
5/2022, 100.19, 0.01
6/2022, 100.24, 0.05
7/2022, 100.43, 0.19
8/2022, 100.2, -0.23
9/2022, 100.14, -0.06
10/2022, 100.23, 0.09
11/2022, 100.22, -0.01
12/2022, 100.23, 0.01
